"Land";"Nordrhein-Westfalen";"Regionsschlüssel:";"05000000"
"Gebietsstand";"April 2025"
"Berichtsmonat";"Zeitreihe"
"Datenstand";"April 2025"
""
"Hinweise:";"Ein Berichtsjahr umfasst jeweils den Berichtszeitraum vom 1. Oktober bis Ende September des Folgejahres. Innerhalb dieses Berichtsjahres handelt es sich um kummulierte Werte."
""
"Berichtsmonat ";"Bewerber/-innen ";"unversorgte Bewerber/-innen ";"Berufsausbildungsstellen ";"betriebliche Berufsausbildungsstellen ";"unbesetzte Berufsausbildungsstellen "
"April 2025";"86.220";"47.390";"88.880";"88.080";"51.730"
"März 2025";"79.950";"48.660";"85.660";"84.920";"54.230"
"Februar 2025";"72.680";"47.990";"81.270";"80.620";"54.570"
"Januar 2025";"64.250";"45.020";"75.600";"75.180";"53.080"
"Dezember 2024";"58.290";"42.580";"71.590";"71.250";"52.590"
"November 2024";"48.100";"36.780";"64.670";"64.440";"49.920"
"Oktober 2024";"38.070";"31.430";"54.430";"54.330";"47.950"
"September 2024";"105.730";"9.660";"107.600";"103.730";"12.390"
"August 2024";"102.190";"19.740";"103.940";"102.070";"30.050"
"Juli 2024";"98.580";"27.300";"101.170";"100.190";"40.240"
"Juni 2024";"93.610";"35.000";"98.590";"97.690";"47.550"
"Mai 2024";"88.790";"39.290";"95.800";"94.940";"51.610"
"April 2024";"83.080";"42.180";"92.400";"91.600";"55.220"
"März 2024";"77.500";"43.940";"88.650";"87.920";"57.960"
"Februar 2024";"70.530";"44.020";"84.230";"83.600";"58.670"
"Januar 2024";"62.740";"42.300";"78.160";"77.750";"57.470"
"Dezember 2023";"56.820";"40.340";"72.680";"72.360";"55.540"
"November 2023";"47.380";"35.710";"64.970";"64.780";"52.200"
"Oktober 2023";"36.640";"30.130";"54.960";"54.880";"48.960"
"September 2023";"103.700";"7.590";"111.740";"108.190";"11.530"
"August 2023";"99.850";"17.080";"108.560";"106.150";"32.930"
"Juli 2023";"95.930";"24.810";"105.120";"103.790";"44.950"
"Juni 2023";"91.360";"32.200";"102.200";"100.960";"51.980"
"Mai 2023";"86.650";"37.140";"99.050";"97.930";"56.400"
"April 2023";"81.550";"40.160";"95.430";"94.340";"59.590"
"März 2023";"75.770";"41.950";"90.700";"89.710";"61.570"
"Februar 2023";"69.590";"42.370";"85.540";"84.640";"61.120"
"Januar 2023";"60.980";"40.260";"78.360";"77.700";"58.570"
"Dezember 2022";"55.590";"38.600";"70.760";"70.260";"54.020"
"November 2022";"45.760";"33.520";"62.200";"61.870";"50.360"
"Oktober 2022";"35.390";"28.380";"53.110";"52.960";"46.550"
"September 2022";"105.290";"6.680";"114.640";"110.390";"10.140"
"August 2022";"101.560";"16.310";"110.950";"108.440";"32.250"
"Juli 2022";"97.640";"24.670";"107.090";"105.970";"44.420"
"Juni 2022";"93.720";"32.890";"103.940";"102.980";"50.650"
"Mai 2022";"89.260";"37.850";"100.240";"99.260";"54.700"
"April 2022";"84.640";"41.260";"96.430";"95.520";"58.380"
"März 2022";"78.930";"43.450";"91.080";"90.450";"59.670"
"Februar 2022";"72.520";"43.750";"85.140";"84.600";"59.320"
"Januar 2022";"64.100";"41.900";"76.810";"76.360";"56.000"
"Dezember 2021";"57.840";"39.840";"69.460";"69.070";"52.430"
"November 2021";"47.100";"34.380";"60.080";"59.810";"48.270"
"Oktober 2021";"36.300";"28.620";"49.510";"49.400";"43.900"
"September 2021";"107.530";"6.990";"110.100";"106.820";"11.440"
"August 2021";"104.060";"19.030";"106.260";"104.500";"27.700"
"Juli 2021";"100.550";"27.780";"102.620";"101.630";"37.160"
"Juni 2021";"95.510";"35.190";"98.550";"97.790";"42.630"
"Mai 2021";"91.150";"39.480";"94.440";"93.760";"46.390"
"April 2021";"86.100";"43.220";"89.950";"89.300";"49.580"
"März 2021";"81.500";"45.940";"84.850";"84.230";"51.800"
"Februar 2021";"75.180";"46.380";"78.870";"78.320";"51.780"
"Januar 2021";"67.940";"45.110";"72.190";"71.760";"50.770"
"Dezember 2020";"62.760";"44.070";"66.670";"66.310";"49.080"
"November 2020";"52.950";"38.920";"59.110";"58.860";"46.580"
"Oktober 2020";"39.320";"32.470";"49.930";"49.820";"44.290"
"September 2020";"115.640";"8.900";"111.860";"108.120";"10.960"
"August 2020";"111.290";"23.540";"107.260";"105.350";"28.730"
