"Land";"Nordrhein-Westfalen";"Regionsschlüssel:";"05000000"
"Gebietsstand";"April 2025"
"Berichtsmonat";"Zeitreihe"
"Datenstand";"April 2025"
"Rechtskreis";"Insgesamt"
""
""
"Berichtsmonat ";"Bestand Arbeitslose ";"Zugang Arbeitslose ";"Abgang Arbeitslose ";"Arbeitslosenquote "
"April 2025";"781.790";"133.090";"138.870";"7,8"
"März 2025";"787.520";"135.830";"136.830";"7,9"
"Februar 2025";"788.480";"141.770";"141.180";"7,9"
"Januar 2025";"787.850";"140.300";"104.760";"7,9"
"Dezember 2024";"752.320";"132.610";"127.910";"7,5"
"November 2024";"747.550";"130.820";"136.460";"7,5"
"Oktober 2024";"753.100";"150.070";"150.900";"7,5"
"September 2024";"753.890";"128.320";"147.640";"7,6"
"August 2024";"773.120";"139.550";"129.980";"7,7"
"Juli 2024";"763.380";"155.700";"135.490";"7,6"
"Juni 2024";"743.120";"121.510";"117.320";"7,4"
"Mai 2024";"738.920";"127.530";"131.730";"7,4"
"April 2024";"743.070";"141.470";"138.870";"7,5"
"März 2024";"740.380";"129.550";"135.040";"7,5"
"Februar 2024";"745.730";"137.710";"133.970";"7,6"
"Januar 2024";"741.960";"139.840";"109.060";"7,5"
"Dezember 2023";"711.160";"130.680";"128.170";"7,2"
"November 2023";"708.590";"130.420";"134.480";"7,2"
"Oktober 2023";"712.530";"131.430";"131.480";"7,2"
"September 2023";"712.440";"125.210";"138.050";"7,2"
"August 2023";"725.160";"141.740";"141.660";"7,4"
"Juli 2023";"724.900";"134.870";"117.540";"7,4"
"Juni 2023";"707.550";"125.050";"117.330";"7,2"
"Mai 2023";"699.800";"114.670";"122.630";"7,1"
"April 2023";"707.670";"130.410";"127.360";"7,2"
"März 2023";"704.580";"119.250";"119.960";"7,2"
"Februar 2023";"705.190";"137.260";"134.570";"7,2"
"Januar 2023";"702.520";"124.720";"97.320";"7,2"
"Dezember 2022";"675.040";"120.870";"121.300";"6,9"
"November 2022";"675.380";"124.750";"129.040";"6,9"
"Oktober 2022";"679.550";"130.380";"132.730";"7,0"
"September 2022";"681.800";"130.070";"142.270";"7,0"
"August 2022";"693.950";"134.630";"128.600";"7,1"
"Juli 2022";"687.720";"136.730";"106.960";"7,0"
"Juni 2022";"657.990";"128.780";"108.670";"6,7"
"Mai 2022";"637.810";"102.780";"110.730";"6,5"
"April 2022";"645.660";"111.530";"118.900";"6,6"
"März 2022";"652.860";"103.720";"114.550";"6,7"
"Februar 2022";"663.530";"119.870";"127.160";"6,8"
"Januar 2022";"670.730";"116.290";"97.040";"6,9"
"Dezember 2021";"651.370";"114.630";"120.670";"6,7"
"November 2021";"657.350";"108.820";"123.490";"6,7"
"Oktober 2021";"671.900";"114.300";"131.190";"6,9"
"September 2021";"688.650";"118.000";"147.850";"7,0"
"August 2021";"718.400";"119.340";"127.980";"7,3"
"Juli 2021";"726.890";"120.210";"119.050";"7,4"
"Juni 2021";"725.620";"103.190";"111.620";"7,4"
